run_id,seed,kp,ki,kd,target_speed_m_s,dt_s,steps,noise_sigma,overshoot_m_s,settling_time_s,steady_state_error_m_s,mean_abs_error_m_s,duration_s,sample_count,tolerance_m_s,target_ref_m_s,overshoot_ratio,ss_err_ratio,label
1,42,0.803369,0.008754,0.055006,21.696322,0.100000,300,0.000000,0.000000,6.500000,0.030196,2.366141,29.900000,300,0.500000,21.696322,0.000000,0.060392,no_change
2,42,0.910118,0.236845,0.178436,17.608165,0.100000,300,0.000000,0.115025,5.300000,0.000415,1.554903,29.900000,300,0.500000,17.608165,0.230049,0.000830,no_change
3,42,0.564114,0.010429,0.043728,30.160659,0.100000,300,0.000000,0.000000,9.300000,0.072698,4.625355,29.900000,300,0.603213,30.160659,0.000000,0.120518,no_change
4,42,0.129190,0.069593,0.129977,31.348244,0.100000,300,0.000000,3.376055,24.200000,0.067680,5.985142,29.900000,300,0.626965,31.348244,5.384759,0.107948,reduce_kp
5,42,0.342485,0.206243,0.161886,15.194963,0.100000,300,0.000000,1.127429,-1.0,1.089949,2.040624,29.900000,300,0.500000,15.194963,2.254857,2.179898,increase_ki
6,42,0.986401,0.244349,0.068050,19.664385,0.100000,300,0.000000,0.058920,5.800000,0.000374,1.923775,29.900000,300,0.500000,19.664385,0.117841,0.000749,no_change
7,42,1.152934,0.117808,0.018549,17.901491,0.100000,300,0.000000,0.000000,5.200000,0.000041,1.581901,29.900000,300,0.500000,17.901491,0.000000,0.000083,no_change
8,42,1.032244,0.211304,0.161426,36.891954,0.100000,300,0.000000,0.028891,11.200000,0.001830,6.876363,29.900000,300,0.737839,36.891954,0.039156,0.002480,no_change
9,42,0.689851,0.340591,0.075707,31.561219,0.100000,300,0.000000,0.176148,9.600000,0.000003,5.014562,29.900000,300,0.631224,31.561219,0.279058,0.000004,no_change
10,42,1.012345,0.216482,0.172341,32.320564,0.100000,300,0.000000,0.052211,9.800000,0.001933,5.256692,29.900000,300,0.646411,32.320564,0.080771,0.002990,no_change
11,42,0.875029,0.016039,0.045580,23.681639,0.100000,300,0.000000,0.000000,7.100000,0.026691,2.814793,29.900000,300,0.500000,23.681639,0.000000,0.053383,no_change
12,42,0.187771,0.081477,0.020200,23.339208,0.100000,300,0.000000,1.246208,15.800000,0.010688,3.014135,29.900000,300,0.500000,23.339208,2.492417,0.021377,reduce_ki
13,42,0.799253,0.127691,0.074036,21.285211,0.100000,300,0.000000,0.053929,6.400000,0.002655,2.263455,29.900000,300,0.500000,21.285211,0.107858,0.005310,no_change
14,42,0.393676,0.327829,0.129607,33.273930,0.100000,300,0.000000,0.795208,12.700000,0.000445,5.650349,29.900000,300,0.665479,33.273930,1.194941,0.000669,reduce_ki
15,42,0.288253,0.255194,0.032680,26.383663,0.100000,300,0.000000,0.969102,12.700000,0.000429,3.617615,29.900000,300,0.527673,26.383663,1.836558,0.000813,reduce_ki
16,42,1.188476,0.224000,0.111390,35.538428,0.100000,300,0.000000,0.000000,10.700000,0.000399,6.364949,29.900000,300,0.710769,35.538428,0.000000,0.000561,no_change
17,42,1.027137,0.271600,0.045810,15.963007,0.100000,300,0.000000,0.056509,4.700000,0.000177,1.263215,29.900000,300,0.500000,15.963007,0.113019,0.000353,no_change
18,42,0.446998,0.093709,0.042197,43.287291,0.100000,300,0.000000,0.062825,13.600000,0.007396,9.562853,29.900000,300,0.865746,43.287291,0.072567,0.008543,increase_kp
19,42,1.064004,0.110137,0.131088,26.868957,0.100000,300,0.000000,0.006698,8.100000,0.001298,3.607378,29.900000,300,0.537379,26.868957,0.012464,0.002415,no_change
20,42,1.106002,0.160598,0.052976,22.398825,0.100000,300,0.000000,0.011190,6.600000,0.000765,2.493564,29.900000,300,0.500000,22.398825,0.022381,0.001530,no_change
21,42,0.717505,0.091960,0.116917,41.934687,0.100000,300,0.000000,0.000000,13.000000,0.007301,8.951630,29.900000,300,0.838694,41.934687,0.000000,0.008706,increase_kp
22,42,0.539341,0.076762,0.199508,30.285789,0.100000,300,0.000000,0.167145,9.600000,0.021519,4.666984,29.900000,300,0.605716,30.285789,0.275946,0.035526,no_change
23,42,0.200000,0.016491,0.021930,33.823381,0.100000,300,0.000000,0.164720,11.800000,0.084876,5.917441,29.900000,300,0.676468,33.823381,0.243500,0.125469,no_change
24,42,0.971287,0.147756,0.012706,26.448579,0.100000,300,0.000000,0.000000,7.900000,0.000498,3.490353,29.900000,300,0.528972,26.448579,0.000000,0.000941,no_change
25,42,1.195734,0.185190,0.194216,40.823391,0.100000,300,0.000000,0.000000,12.500000,0.002006,8.457494,29.900000,300,0.816468,40.823391,0.000000,0.002457,increase_kp
26,42,0.112629,0.252253,0.136342,31.109110,0.100000,300,0.000000,2.856502,25.500000,0.289403,5.957144,29.900000,300,0.622182,31.109110,4.591102,0.465142,reduce_kp
27,42,0.393508,0.224337,0.022310,28.042958,0.100000,300,0.000000,0.435328,8.600000,0.000008,3.976094,29.900000,300,0.560859,28.042958,0.776180,0.000013,reduce_ki
28,42,0.599096,0.333836,0.175171,22.901672,0.100000,300,0.000000,0.455388,7.000000,0.000004,2.660674,29.900000,300,0.500000,22.901672,0.910776,0.000007,reduce_ki
29,42,0.650645,0.062528,0.182526,41.115557,0.100000,300,0.000000,0.000000,12.900000,0.002444,8.601706,29.900000,300,0.822311,41.115557,0.000000,0.002972,increase_kp
30,42,0.428289,0.223632,0.121794,19.585178,0.100000,300,0.000000,0.621636,9.600000,0.000144,2.012498,29.900000,300,0.500000,19.585178,1.243271,0.000289,reduce_ki
31,42,0.938762,0.188783,0.155725,30.910610,0.100000,300,0.000000,0.039903,9.400000,0.001726,4.801373,29.900000,300,0.618212,30.910610,0.064546,0.002792,no_change
32,42,0.100629,0.113455,0.003895,42.872958,0.100000,300,0.000000,2.602077,19.800000,0.065108,9.813391,29.900000,300,0.857459,42.872958,3.034637,0.075932,reduce_kp
33,42,1.066594,0.291083,0.061503,16.737755,0.100000,300,0.000000,0.044774,4.900000,0.000126,1.388009,29.900000,300,0.500000,16.737755,0.089549,0.000253,no_change
34,42,1.065811,0.331432,0.017131,29.579714,0.100000,300,0.000000,0.014730,8.800000,0.000073,4.378578,29.900000,300,0.591594,29.579714,0.024898,0.000123,no_change
35,42,0.176134,0.266211,0.153167,18.851744,0.100000,300,0.000000,2.553735,-1.0,2.553697,3.776202,29.900000,300,0.500000,18.851744,5.107471,5.107393,reduce_kp
36,42,0.622811,0.192431,0.053011,41.172991,0.100000,300,0.000000,0.076378,12.700000,0.001378,8.615814,29.900000,300,0.823460,41.172991,0.092753,0.001674,increase_kp
