time_s,speed_true_m_s,speed_measured_m_s,target_m_s,throttle,error_control
0.100000,0.333333,-0.021614,30.000000,1.000000,30.021614
0.200000,0.666664,0.307398,30.000000,1.000000,29.692602
0.300000,0.999986,0.649967,30.000000,1.000000,29.350033
0.400000,1.333294,1.105284,30.000000,1.000000,28.894716
0.500000,1.666583,1.314156,30.000000,1.000000,28.685844
0.600000,1.999847,1.441980,30.000000,1.000000,28.558020
0.700000,2.333081,2.049695,30.000000,1.000000,27.950305
0.800000,2.666278,2.292980,30.000000,1.000000,27.707020
0.900000,2.999433,2.633734,30.000000,1.000000,27.366266
1.000000,3.332542,3.016816,30.000000,1.000000,26.983184
1.100000,3.665598,3.367387,30.000000,1.000000,26.632613
1.200000,3.998595,3.840131,30.000000,1.000000,26.159869
1.300000,4.331529,4.097090,30.000000,1.000000,25.902910
1.400000,4.664393,4.348105,30.000000,1.000000,25.651895
1.500000,4.997182,4.553645,30.000000,1.000000,25.446355
1.600000,5.329891,4.844983,30.000000,1.000000,25.155017
1.700000,5.662514,5.366843,30.000000,1.000000,24.633157
1.800000,5.995046,5.859177,30.000000,1.000000,24.140823
1.900000,6.327481,6.001295,30.000000,1.000000,23.998705
2.000000,6.659813,6.311533,30.000000,1.000000,23.688467
2.100000,6.992038,6.739580,30.000000,1.000000,23.260420
2.200000,7.324149,6.774006,30.000000,1.000000,23.225994
2.300000,7.656141,7.277307,30.000000,1.000000,22.722693
2.400000,7.988009,7.729696,30.000000,1.000000,22.270304
2.500000,8.319747,8.119020,30.000000,1.000000,21.880980
2.600000,8.651350,8.283653,30.000000,1.000000,21.716347
2.700000,8.982812,8.707840,30.000000,1.000000,21.292160
2.800000,9.314128,9.020044,30.000000,1.000000,20.979956
2.900000,9.645293,9.431477,30.000000,1.000000,20.568523
3.000000,9.976301,9.478310,30.000000,1.000000,20.521690
3.100000,10.307146,10.061538,30.000000,1.000000,19.938462
3.200000,10.637823,10.079968,30.000000,1.000000,19.920032
3.300000,10.968327,10.244831,30.000000,1.000000,19.755169
3.400000,11.298653,10.877294,30.000000,1.000000,19.122706
3.500000,11.628795,11.161282,30.000000,1.000000,18.838718
3.600000,11.958748,11.760197,30.000000,1.000000,18.239803
3.700000,12.288506,12.058387,30.000000,1.000000,17.941613
3.800000,12.618064,12.105644,30.000000,1.000000,17.894356
3.900000,12.947417,12.745168,30.000000,1.000000,17.254832
4.000000,13.276559,12.797086,30.000000,1.000000,17.202914
4.100000,13.605486,13.263623,30.000000,1.000000,16.736377
4.200000,13.934191,13.561401,30.000000,1.000000,16.438599
4.300000,14.262671,13.951354,30.000000,1.000000,16.048646
4.400000,14.590918,14.385466,30.000000,1.000000,15.614534
4.500000,14.918929,14.686680,30.000000,1.000000,15.313320
4.600000,15.246698,14.971412,30.000000,1.000000,15.028588
4.700000,15.574220,15.344191,30.000000,1.000000,14.655809
4.800000,15.901490,15.645994,30.000000,1.000000,14.354006
4.900000,16.228501,15.807442,30.000000,1.000000,14.192558
5.000000,16.555251,16.120896,30.000000,1.000000,13.879104
5.100000,16.881732,16.484755,30.000000,1.000000,13.515245
5.200000,17.207941,16.956631,30.000000,1.000000,13.043369
5.300000,17.533871,17.170423,30.000000,1.000000,12.829577
5.400000,17.859519,17.884234,30.000000,1.000000,12.115766
5.500000,18.184878,17.736625,30.000000,1.000000,12.263375
5.600000,18.509944,18.020047,30.000000,1.000000,11.979953
5.700000,18.834712,18.625215,30.000000,1.000000,11.374785
5.800000,19.159176,19.047989,30.000000,1.000000,10.952011
5.900000,19.483333,19.235030,30.000000,1.000000,10.764970
6.000000,19.807176,19.608706,30.000000,1.000000,10.391294
6.100000,20.130701,20.021128,30.000000,1.000000,9.978872
6.200000,20.453904,20.116597,30.000000,1.000000,9.883403
